Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host_Countries,Count,Broadcast_Revenue,Sum_Revenue
Neil Brooks,M,22,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,United States of America,5,287,1944.05
Travis Neil Brooks,M,24,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Travis Neil Brooks,M,28,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
"Gregory John ""Greg"" Brough",M,17,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Mexico,1,9.8,9.8
Graeme Allen Brown,M,25,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,Greece,1,1494,1494
Graeme Allen Brown,M,25,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Madison,Gold,Greece,1,1494,1494
Ian Warwick Brown,M,22,Australia,AUS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Dinghy,Bronze,Canada,3,35,1640
"Joanne ""Jo"" Brown (-Alchin)",F,24,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze,United States of America,5,898,1944.05
"Joanne ""Jo"" Brown (-Alchin)",F,28,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Australia,1,1332,1332
Kiel Brown,M,24,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
Victoria Brown,F,26,Australia,AUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze,United Kingdom,1,2569,2569
"Gregory Charles ""Greg"" Browning",M,23,Australia,AUS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Silver,Canada,3,35,1640
Glenn Robert Buchanan,M,21,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Butterfly,Bronze,United States of America,5,287,1944.05
Glenn Robert Buchanan,M,21,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,United States of America,5,287,1944.05
Sharon Lee Buchanan-Patmore,F,25,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold,South Korea,2,403,1839
Darren Bundock,M,29,Australia,AUS,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Multihull,Silver,Australia,1,1332,1332
Darren Bundock,M,37,Australia,AUS,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Silver,China,1,1739,1739
Nathan Burgers,M,33,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
Simon Peter Burgess,M,33,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,Australia,1,1332,1332
Simon Peter Burgess,M,36,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,Greece,1,1494,1494
"Daniel ""Dan"" Burke",M,26,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver,Australia,1,1332,1332
Lauren Chantel Burns (-Muller),F,26,Australia,AUS,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Women's Flyweight,Gold,Australia,1,1332,1332
Adrian Mark Burnside,M,27,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Greece,1,1494,1494
Christopher Burton,M,34,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,Brazil,1,2868,2868
Tom Burton,M,26,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,Gold,Brazil,1,2868,2868
William Charles Burton,M,18,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Italy,2,1.2,832.2
Dean William Butler,M,27,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Matthew Butturini,M,24,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
Maureen Caird (-Jones),F,17,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,Gold,Mexico,1,9.8,9.8
Christopher Cairns,M,27,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Multihull,Bronze,United States of America,5,287,1944.05
Ashley John Callus,M,21,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,Australia,1,1332,1332
Ashley John Callus,M,29,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,China,1,1739,1739
Dyana Jane Calub,F,24,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Australia,1,1332,1332
"Elizabeth Folake ""Liz"" Cambage",F,20,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze,United Kingdom,1,2569,2569
Bronte Campbell,F,22,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Brazil,1,2868,2868
Cate Natalie Campbell,F,16,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,Bronze,China,1,1739,1739
